2014-10-01|07:00|Parcialmente cubierto|17|7 km/h|88%|1022 hPa
2014-10-01|08:00|Nubes dispersas|17|7 km/h|88%|1022 hPa
2014-10-01|09:00|Nubes dispersas|18|En calma|83%|1023 hPa
2014-10-01|10:00|Nubes dispersas|19|7 km/h|78%|1023 hPa
2014-10-01|11:00|Nubes dispersas|20|En calma|73%|1024 hPa
2014-10-01|12:00|Nubes dispersas|22|En calma|64%|1024 hPa
2014-10-01|13:00|Nubes dispersas|24|4 km/h|54%|1024 hPa
2014-10-01|14:00|Nubes dispersas|25|4 km/h|44%|1023 hPa
2014-10-01|15:00|Nubes dispersas|26|7 km/h|45%|1022 hPa
2014-10-01|16:00|Nubes dispersas|26|6 km/h|45%|1022 hPa
2014-10-01|17:00|Nubes dispersas|27|7 km/h|42%|1021 hPa
2014-10-01|18:00|Nubes dispersas|27|6 km/h|45%|1021 hPa
2014-10-01|19:00|Nubes dispersas|26|6 km/h|48%|1021 hPa
2014-10-02|07:00|Despejado|15|En calma|94%|1023 hPa
2014-10-02|08:00|Despejado|15|7 km/h|94%|1023 hPa
2014-10-02|09:00|Despejado|16|9 km/h|88%|1023 hPa
2014-10-02|10:00|Despejado|19|En calma|73%|1024 hPa
2014-10-02|11:00|Despejado|19|4 km/h|73%|1024 hPa
2014-10-02|12:00|Despejado|22|En calma|60%|1024 hPa
2014-10-02|13:00|Despejado|23|En calma|57%|1023 hPa
2014-10-02|14:00|Parcialmente cubierto|25|En calma|41%|1023 hPa
2014-10-02|15:00|Parcialmente cubierto|26|4 km/h|48%|1022 hPa
2014-10-02|16:00|Parcialmente cubierto|27|6 km/h|45%|1021 hPa
2014-10-02|18:00|Mayormente cubierto|25|17 km/h|54%|1021 hPa
2014-10-02|18:25|Lluvia|20|13 a 41 km/h|78%|1023 hPa
2014-10-02|19:00|Tormenta |16|13 a 43 km/h|88%|1022 hPa
2014-10-03|07:00|Despejado|13|En calma|82%|1023 hPa
2014-10-03|08:00|Despejado|13|En calma|82%|1023 hPa
2014-10-03|09:00|Despejado|13|7 km/h|88%|1024 hPa
2014-10-03|11:00|Despejado|19|En calma|60%|1024 hPa
2014-10-03|12:00|Nubes dispersas|21|En calma|64%|1024 hPa
2014-10-03|13:00|Nubes dispersas|22|6 km/h|69%|1023 hPa
2014-10-03|14:00|Parcialmente cubierto|24|13 km/h|57%|1023 hPa
2014-10-03|15:00|Parcialmente cubierto|25|En calma|47%|1022 hPa
2014-10-03|16:00|Parcialmente cubierto|26|En calma|45%|1011 hPa
2014-10-03|17:00|Parcialmente cubierto|26|6 km/h|45%|1021 hPa
2014-10-03|18:00|Parcialmente cubierto|25|6 km/h|47%|1020 hPa
2014-10-03|19:00|Parcialmente cubierto|23|11 km/h|57%|1020 hPa
2014-10-04|08:00|Despejado|13|En calma|N/D%|1021 hPa
2014-10-04|09:00|Despejado|14|En calma|N/D%|1021 hPa
2014-10-04|10:00|Despejado|18|En calma|N/D%|1021 hPa
2014-10-04|11:00|Nubes dispersas|19|En calma|N/D%|1022 hPa
2014-10-04|12:00|Nubes dispersas|21|En calma|N/D%|1022 hPa
2014-10-04|13:00|Nubes dispersas|23|7 km/h|N/D%|1021 hPa
2014-10-04|14:00|Parcialmente cubierto|23|En calma|N/D%|1020 hPa
2014-10-05|08:00|Despejado|14|6 km/h|N/D%|1018 hPa
2014-10-05|09:00|Despejado|15|4 km/h|N/D%|1018 hPa
2014-10-05|10:00|Despejado|19|En calma|N/D%|1019 hPa
2014-10-05|11:00|Despejado|19|En calma|N/D%|1019 hPa
2014-10-05|12:00|Nubes dispersas|21|En calma|N/D%|1019 hPa
2014-10-05|13:00|Nubes dispersas|24|En calma|N/D%|1018 hPa
2014-10-05|14:00|Nubes dispersas|24|9 km/h|N/D%|1017 hPa
2014-10-06|07:00|Despejado|14|En calma|88%|1016 hPa
2014-10-06|08:00|Despejado|13|En calma|94%|1016 hPa
2014-10-06|10:00|Despejado|16|En calma|77%|1016 hPa
2014-10-06|12:00|Despejado|20|9 km/h|60%|1016 hPa
2014-10-06|13:00|Despejado|25|13 km/h|39%|1016 hPa
2014-10-06|14:00|Despejado|25|En calma|39%|1016 hPa
2014-10-06|15:00|Despejado|25|En calma|39%|1015 hPa
2014-10-06|16:00|Despejado|26|En calma|26%|1015 hPa
2014-10-06|17:00|Despejado|25|13 km/h|32%|1014 hPa
2014-10-06|18:00|Despejado|24|17 km/h|31%|1014 hPa
2014-10-06|19:00|Despejado|23|15 km/h|33%|1015 hPa
