"pk_id"	"file_name"	"province"	"surface"	"address"	"lat"	"lng"	"city"	"name"	"country"	"cadastre"	"year_of_construct"	"comments"	"pc"	"state"	"fk_weather_forecast_id"
"1"	10	"569debfb93617a3c0f29c87b"	"Córdoba"	""	"Carretera Córdoba - Málaga, 6, 14930 Monturque, Córdoba"	37.4681162	-4.5686906	""	"Acorsa"	"Spain"	""	2003	""	14930	""	2
"2"	24	"56c2f7c2a1f84c08ff98f6be"	"Córdoba"	""	"Calle Conde de Gondomar, 14003 Córdoba, Spain"	37.8846086	-4.7812064	"Córdoba"	"Delegación provincial de economía y hacienda - Córdoba"	"Spain"	""	1999	""	14003	""	2
"3"	26	"56c2f7c3a1f84c08ff98f6c7"	"Granada"	"7000"	"Av. Ilustración - Facultad Ciencias de la Salud, 18007,"	37.1492582	-3.6057613	"Armilla"	"Instalaciones del servicio provincial del 061 y CMAT de"	"Spain"	""	2004	""	18100	""	3
"4"	23	"56c2f7c2a1f84c08ff98f6bb"	"Granada"	"16426.17"	"Granada, Spain"	37.1773363	-3.5985571	"Granada"	"E.T.S.I. Edificación"	"Spain"	""	1972	""	18071	""	4
"5"	45	"56deeb10fed7cb5f739e40ab"	"Granada"	"7842"	"Granada, Spain"	37.1773363	-3.5985571	""	"EUROCASTELL"	"Spain"	"18095A004004160000IO"	2002	""	18740	""	4
"6"	63	"57bed8afe1a2aa3043e858e0"	"Granada"	"36358"	"Ctra. Almería -Carchuna, 0, 18600 Motril, Granada, Spai"	36.7427912	-3.513241	""	"GRANADA LA PALMA - CARCHUNA"	"Spain"	"0216201VF6601E0001ZW - 0216202VF6601E0001UW"	1994	""	18730	""	4
"7"	64	"57dab9ae0cbcfb4d060c50d9"	"Granada"	"5102"	"Granada, Spain"	37.1773363	-3.5985571	""	"GRANADA LA PALMA - PUNTALÓN"	"Spain"	"002000600VF56F0001PM"	2000	""	18600	""	4
"8"	2	"56448ebe5de7a7ee647d4bf6"	"Málaga"	"3430"	"Calle Maestranza, 6, 29016 Málaga, Spain"	36.7197515	-4.4105467	""	"Maestranza"	"Spain"	"4148101UF7644N0001IA"	1981	""	29016	""	6
"9"	3	"5667eb61b69dc34e5b1a5b45"	"Málaga"	"6541"	"Málaga, Spain"	36.721261	-4.4212655	""	"Museo Picasso"	"Spain"	""	0	""	29015	""	6
"10"	4	"5667ec7ab69dc34e5b1a5b4b"	"Málaga"	""	"Av. Juan López de Peñalver, 21, 29590 Málaga, Spain"	36.7373978	-4.5536818	""	"BIC Euronova"	"Spain"	""	0	""	29590	""	6
"11"	5	"5667ed91b69dc34e5b1a5b4e"	"Málaga"	"8.447"	"Calle Charles Darwin, 3, 29590 Málaga, Spain"	36.7427057	-4.5567867	""	"Ahumados Ubago"	"Spain"	"1375203UF6617N0001LG"	2005	""	29590	""	6
"12"	6	"5667f02cb69dc34e5b1a5b54"	"Málaga"	""	"Av de Sor Teresa Prat, 15, 29003 Málaga, Spain"	36.6996078	-4.4395717	""	"Módulo 3 Tabacalera"	"Spain"	""	0	""	29003	""	6
"13"	7	"5667f0c0b69dc34e5b1a5b57"	"Málaga"	"28.886"	"Paseo de Antonio Machado, 12, 29002 Málaga, Spain"	36.7101807	-4.4277669	""	"Edificio de usos Múltiples"	"Spain"	"2538501UF7623N0001MO"	2010	""	29071	""	6
"14"	8	"5667f502b69dc34e5b1a5b5a"	"Málaga"	"17020"	"Calle Prokofiev, 2, 29590 Málaga, Spain"	36.712843	-4.5158246	""	"COFARAN"	"Spain"	"000600400UF55A0001ZK"	1996	""	29590	""	6
"15"	9	"5667fac6b69dc34e5b1a5b65"	"Málaga"	"32693"	"Calle César Vallejo, 16, 29004 Málaga, Spain"	36.6944062	-4.4837098	""	"FUJITSU TEN ESPAÑA"	"Spain"	"7323302UF6672S0001XI"	1988	""	29004	""	6
"16"	11	"56af7622e23cd6c566a8aa83"	"Málaga"	""	"Pje. Málaga, 29631 Benalmádena, Málaga, Spain"	36.5980246	-4.5318244	""	"Centro de salud Arroyo de la miel"	"Spain"	""	0	""	29631	""	6
"17"	12	"56b9b0ba5918bd1148ef8c0a"	"Málaga"	"78896"	"Av. de José Ortega y Gasset, 201, 29006 Málaga, Spain"	36.705812	-4.4600144	""	"Palacio de Ferias y Congresos de Málaga"	"Spain"	"9533701UF6693S0001TP"	2000	""	29006	""	6
"18"	13	"56b9b98a5918bd1148ef8c1a"	"Málaga"	"2790"	"Calle la Gitanilla, 17, 29004 Málaga, Spain"	36.702285	-4.4965961	""	"PROMÁLAGA I+D"	"Spain"	"6430818UF6663S0001BZ"	2002	""	29004	""	6
"19"	14	"56c2e251a221dcea2ed88d03"	"Málaga"	"3878"	"Calle María Curie, 22, 29590 Málaga, Spain"	36.7364059	-4.5473157	""	"Centro Tecnológico Habitec"	"Spain"	"1767603UF6616N0002WX"	2008	""	29590	""	6
"20"	15	"56c2eb84a221dcea2ed88d0f"	"Málaga"	"18365"	"Málaga, Spain"	36.721261	-4.4212655	""	"Club de Hielo Benalmádena"	"Spain"	"3014503UF6531S0002TJ"	2006	""	29631	""	6
"21"	16	"56c2f7c1a1f84c08ff98f6a0"	"Málaga"	"68341"	"Calle Fiscal Luis Portero García, 29010 Málaga, Spain"	36.7161624	-4.4605006	"Malaga"	"Ciudad de la Justicia"	"Spain"	""	2007	""	29010	"Andalusia"	6
"22"	18	"56c2f7c1a1f84c08ff98f6a6"	"Málaga"	"50000"	"Av. de Carlos Haya, 29010 Málaga, Spain"	36.7228375	-4.4512478	"Málaga"	"Hospital Carlos Haya"	"Spain"	""	1956	""	0	""	6
"23"	28	"56c2f7c3a1f84c08ff98f6cd"	"Málaga"	"20000"	"Calle Julio Verne, 6, 29591 Málaga, Spain"	36.7341825	-4.4666816	"Málaga"	"IES Universidad Laboral de Málaga"	"Spain"	""	1973	""	0	""	6
"24"	31	"56c307260ae05714050d45e9"	"Málaga"	"8447"	"Calle Severo Ochoa, 54, 29590 Málaga, Spain"	36.7412604	-4.5553576	""	"GE XXI"	"Spain"	"1375203UF6617N0001LG"	2005	""	29590	""	6
"25"	32	"56c31bd90ae05714050d4611"	"Málaga"	"2624"	"29590 Málaga, Spain"	36.7282429	-4.5315029	""	"Sede social del PTA"	"Spain"	"1671904UF6617S0001SM"	1993	""	29590	""	6
"26"	33	"56c333670ae05714050d4648"	"Málaga"	"8360"	"Caleta de Vélez, Málaga, Spain"	36.751576	-4.070823	""	"Casa Club Baviera"	"Spain"	"4890902VF0649S0001DP"	2008	""	29751	""	6
"27"	34	"56c33abd0ae05714050d4665"	"Málaga"	"1664"	"Calle Severo Ochoa, 57, 29590 Málaga, Spain"	36.7384585	-4.5531587	""	"Centro de Ciencia y Tecnología"	"Spain"	"0973207UF6607S0001UL"	2004	""	29590	""	6
"28"	35	"56c3488f0ae05714050d469a"	"Málaga"	"2653"	"Calle Pierre Laffitte, 29590 Málaga, Spain"	36.7476636	-4.5534651	""	"Centro Andaluz de Innovación y Tecnologías de la Inform"	"Spain"	"1680502UF6618S0001IJ"	2013	""	29590	""	6
"29"	36	"56c497b10ae05714050d473f"	"Málaga"	"2907"	"Calle Reboul, 37, 29006 Málaga, Spain"	36.7086281	-4.4415891	""	"Centro de Salud de Cruz de Humilladero"	"Spain"	"1639701UF7613N0001GT"	2002	""	29006	""	6
"30"	37	"56c4a25d0ae05714050d4784"	"Málaga"	"1530"	"Calle Máximo Gorky, 4, 29011 Málaga, Spain"	36.7353942	-4.4342195	""	"Centro de Salud Rosaleda - La Roca"	"Spain"	"1966904UF7616N0001QP "	2010	""	29011	""	6
"31"	38	"56c577880ae05714050d479f"	"Málaga"	"1693"	"Calle Frederick Terman, 3, 29590 Málaga, Spain"	36.7405554	-4.5546184	""	"Centro de Incubación y Formación (Parque Tecnológico de"	"Spain"	"0973205UF6607S0001SL"	2010	""	29590	""	6
"32"	39	"56c57bba0ae05714050d47b7"	"Málaga"	""	"Málaga, Spain"	36.721261	-4.4212655	""	"BOMBEO Y RIEGO"	"Spain"	""	1992	""	29590	""	6
"33"	40	"56c5802b0ae05714050d47d4"	"Málaga"	"16475"	"29590 Málaga, Spain"	36.7282429	-4.5315029	""	"IS-1 CA-2 SUR Aire Acondicionado"	"Spain"	"0973230UF6607S0002LB"	2012	""	29590	""	6
"34"	41	"56c5a0600ae05714050d47ec"	"Málaga"	"2478"	"Av. Gregorio Diego, 46, 29004 Málaga, Spain"	36.6885113	-4.4489376	""	"Centro de Salud de Puerta Blanca"	"Spain"	"0614101UF7601S0001ZZ"	2000	""	29004	""	6
"35"	42	"56c5d52c0ae05714050d480f"	"Málaga"	"16475"	"29590 Málaga, Spain"	36.7282429	-4.5315029	""	"IS-1 CA-2 SUR Zonas Comunes"	"Spain"	"0973230UF6607S0002LB"	2012	""	29590	""	6
"36"	43	"56c5daf20ae05714050d4829"	"Málaga"	"15706"	"Calle Severo Ochoa, 21, 29590 Málaga, Spain"	36.7348288	-4.5570624	""	"I+D6 NORTE Aire Acondicionado"	"Spain"	"0973216UF6607S0024OD"	2005	""	29590	""	6
"37"	44	"56c5de770ae05714050d4861"	"Málaga"	"15706"	"Calle Severo Ochoa, 21, 29590 Málaga, Spain"	36.7348288	-4.5570624	""	"I+D6 SUR Aire Acondicionado"	"Spain"	"0973216UF6607S0014WY"	2005	""	29590	""	6
"38"	46	"570789a2f321773d033635d5"	"Málaga"	""	"Calle María Curie, 8, 29590 Málaga, Spain"	36.7371933	-4.5498822	""	"Acceso CURVAS DE CARGA"	"Spain"	""	0	""	29590	""	6
"39"	47	"5723113f8959448c58ddb37b"	"Málaga"	""	"Calle Charles Darwin, 29590 Málaga, Spain"	36.742172	-4.5547228	""	"ANOVO"	"Spain"	""	0	""	29590	""	6
"40"	48	"572b25b16b4faac065df2c43"	"Málaga"	""	"Calle María Curie, 14, 29590 Málaga, Spain"	36.736325	-4.5489017	""	"Pruebas 4"	"Spain"	""	0	""	29590	""	6
"41"	49	"572b4abc6b4faac065df2c55"	"Málaga"	""	"Calle María Curie, 16, 29590 Málaga, Spain"	36.7362572	-4.5488222	""	"INDAR"	"Spain"	""	0	""	29590	""	6
"42"	51	"5756e10a5d5551982768b2b0"	"Málaga"	""	"Calle San Francisco, 20, 29700 Vélez-Málaga, Málaga, Sp"	36.78178	-4.10179	""	"CASA CERVANTES (VELEZ-MALAGA)"	"Spain"	""	0	""	29700	""	6
"43"	52	"5756e2cd5d5551982768b2b7"	"Málaga"	""	"Calle Félix Lomas, 27, Vélez-Málaga, Málaga, Spain"	36.783268	-4.1051235	""	"Centro de Arte Contemporáneo (Velez-Malaga)"	"Spain"	""	0	""	29700	""	6
"44"	53	"5756e6095d5551982768b2c2"	"Málaga"	""	"Calle Palmeras del Limonar, 31, 29016 Málaga, Spain"	36.7278629	-4.4019093	""	"COAMA"	"Spain"	""	0	""	29016	""	6
"45"	54	"5756e9795d5551982768b2d2"	"Málaga"	""	"Calle Cerrajeros, 10, 29006 Málaga, Spain"	36.7067445	-4.4472374	""	"CONSTRUCCIONES VERA"	"Spain"	""	0	""	29006	""	6
"46"	55	"5757be795d5551982768b2e4"	"Málaga"	""	"Calle San Francisco, 14, 29700 Vélez-Málaga, Málaga, Sp"	36.78203	-4.10167	""	"INICIATIVA URBANA (VELEZ-MALAGA)"	"Spain"	""	0	""	29700	""	6
"47"	56	"5757c0195d5551982768b2e9"	"Málaga"	""	"Caleta de Vélez, Málaga, Spain"	36.751576	-4.070823	""	"RIEGO FASE 1 BAVIERA GOLF"	"Spain"	""	0	""	29751	""	6
"48"	57	"5757c1095d5551982768b2ef"	"Málaga"	""	"Caleta de Vélez, Málaga, Spain"	36.751576	-4.070823	""	"RIEGO FASE 2 BAVIERA GOLF"	"Spain"	""	0	""	29751	""	6
"49"	58	"5757c5cc5d5551982768b2f8"	"Málaga"	""	"Calle de Arroyo Hondo, 29700 Vélez-Málaga, Málaga, Spai"	36.7786952	-4.1045053	""	"PISCINA CUBIERTA VELEZ-MALAGA"	"Spain"	""	0	""	29700	""	6
"50"	59	"5757c83e5d5551982768b301"	"Málaga"	""	"Plaza San Francisco, 5, 29700 Vélez-Málaga, Málaga, Spa"	36.781403	-4.1016616	""	"GERENCIA URBANISMO (VELEZ-MALAGA)"	"Spain"	""	0	""	29700	""	6
"51"	60	"5757cc555d5551982768b308"	"Málaga"	""	"Calle Severo Ochoa, 21, 29590 Málaga, Spain"	36.7348288	-4.5570624	""	"I+D6 SUR Zonas Comunes"	"Spain"	""	2005	""	29590	""	6
"52"	1	"56448ba67e5ba2df56afd103"	"Sevilla"	"11172"	"Calle Virgen del Monte, 36, 41370 Cazalla de la Sierra,"	37.93137	-5.75907	""	"Montes Sierra"	"Spain"	"9029021TG3492N0001MP"	1970	""	41007	""	7
"53"	20	"56c2f7c1a1f84c08ff98f6af"	"Sevilla"	"76329"	"Av. de Bellavista, 41014 Sevilla, Spain"	37.3211403	-5.968716	"Sevilla"	"Hospital Valme"	"Spain"	""	1982	""	41014	""	7
"54"	61	"57a26399fdd4fa09771fb7b0"	"Sevilla"	""	"Calle Argentina, 22, 41530 Morón de la Frontera, Sevill"	37.1228296	-5.4667898	""	"ACEITUNAS GUADALQUIVIR 1"	"Spain"	""	0	""	41530	""	7
"55"	62	"57a2643efdd4fa09771fb7b6"	"Sevilla"	""	"Calle Arahal, 5, 41016 Sevilla, Spain"	37.3861926	-5.9115044	""	"ACEITUNAS GUADALQUIVIR 2"	"Spain"	""	0	""	41530	""	7
"56"	17	"56c2f7c1a1f84c08ff98f6a3"	"Jaén"	"24340"	"Av. San Cristóbal, 23700 Linares, Jaén, Spain"	38.0896499	-3.6436517	"Linares"	"Hospital de San Agustín"	"Spain"	""	1950	""	0	""	NA
"57"	19	"56c2f7c1a1f84c08ff98f6a9"	"Huelva"	"1013.18"	"Calle Sanlúcar de Barrameda, 3, 21001 Huelva, Spain"	37.2548328	-6.9575183	"Huelva"	"Sede de delegaciones provinciales de Huelva"	"Spain"	""	0	""	21001	""	NA
"58"	21	"56c2f7c2a1f84c08ff98f6b2"	"Málaga"	"53090"	"Calle Cádiz, 29400 Ronda, Málaga, Spain"	36.7474306	-5.1585095	"Jerez"	"Hospital de Jerez"	"Spain"	""	1968	""	11404	""	NA
